"","Episode","startTime","endTime","Actor","Text","vox_machina","guest","staff","Matt","Arc","Arc_no","timeDiffInSecs","wordCount","WordsPerMillisec","segment","encounter_count","rp_combat","turn_number","CR_GUEST"
"1",37,0,6.616,"MATT","hello, and welcome to tonight's episode of critical role, the show where a bunch of us nerdy-ass voice actors play dungeons and dragons. we're happy to be back. we all had an awesome break; some good times away from the chaos of the city for some of us. and we're happy to get this ball rolling again. so we've missed you guys. in case you can't tell right now, we have some cool upgrades to the set, actually, if you want to have a look around real fast. the hardworking folks here at geek and sundry were awesome enough to go ahead and build this awesome set, and we're happy enough to have a guest here this evening, as ashley johnson is able to hang with us tonight.",0,0,0,1,"Briarwoods",3,6.616,136,0.0205562273276904,"proglog",NA,NA,1,"MATT"
"2",37,39.947,42.286,"ASHLEY","hello! i like you!",1,0,0,0,"Briarwoods",3,2.339,5,0.00213766566908936,"proglog",NA,NA,2,"ASHLEY"
"3",37,42.286,44.958,"MARISHA","ashley! when did you get here!",1,0,0,0,"Briarwoods",3,2.672,7,0.00261976047904192,"proglog",NA,NA,3,"MARISHA"
"4",37,44.958,57.795,"ASHLEY","oh man, you know, i just flew in. oh no, we're running out of space. grog! hi, guys. wow, this looks amazing!",1,0,0,0,"Briarwoods",3,12.837,24,0.00186959569992989,"proglog",NA,NA,4,"ASHLEY"
"5",37,59.539,65.564,"MATT","yeah, the set upgrades are awesome. this is a tribute to the awesome crew that put all this together over the break, so you guys did an awesome job. give a big shout-out to the geek and sundry crew. yeah, and so for those who saw earlier tweets, we're pushing off critmas to probably next week because we're all returning from break, we're all getting back into the swing of things, and we're still getting our bearings here. so we're doing that next week. but nevertheless, let's go ahead and start off with some of our quick announcements as we wait for the illustrious sam riegel to find his way here. there was a clamoring from the fanbase to extend the sale of the critmas sweaters. orders kept coming in, so we've extended it up to this point. however, i believe tonight, is it, tonight?",0,0,0,1,"Briarwoods",3,6.02499999999999,154,0.0255601659751038,"proglog",NA,NA,5,"MATT"
"6",37,110.678,112.048,"LAURA","tonight is the last night.",1,0,0,0,"Briarwoods",3,1.37,6,0.00437956204379561,"proglog",NA,NA,6,"LAURA"
"7",37,112.048,114.132,"MATT","the very last night to purchase your critmas sweaters",0,0,0,1,"Briarwoods",3,2.084,9,0.00431861804222648,"proglog",NA,NA,7,"MATT"
"8",37,114.132,115.916,"LAURA","and then it's gone forever.",1,0,0,0,"Briarwoods",3,1.78399999999999,7,0.00392376681614352,"proglog",NA,NA,8,"LAURA"
"9",37,115.916,118.171,"MATT","forever.",0,0,0,1,"Briarwoods",3,2.25500000000001,2,0.000886917960088688,"proglog",NA,NA,9,"MATT"
"10",37,118.171,120.207,"MARISHA","i lived in mine over the holiday.",1,0,0,0,"Briarwoods",3,2.03599999999999,8,0.0039292730844794,"proglog",NA,NA,10,"MARISHA"
