"","Episode","startTime","endTime","Actor","Text","vox_machina","guest","staff","Matt","Arc","Arc_no","timeDiffInSecs","wordCount","WordsPerMillisec","segment","encounter_count","rp_combat","turn_number","CR_GUEST"
"1",40,0,3.611,"MATT","hello everyone, and welcome to tonight's episode of critical role, here, where a bunch of us nerdy-ass voice actors play dungeons and dragons.",0,0,0,1,"Attack_Conclave",4,3.611,26,0.00720022154527832,"proglog",NA,NA,1,"MATT"
"2",40,6.113,8.043,"TRAVIS","damn it! damn it! it was perfect.",1,0,0,0,"Attack_Conclave",4,1.93,8,0.00414507772020726,"proglog",NA,NA,2,"TRAVIS"
"3",40,8.043,14.494,"MATT","no, i got it right this time. careful what you wish for. but yeah, so thank you for joining us! last week was kind of a crazy episode, and this week we continue that theme. however, i do want to go over some quick announcements, so we can get the show on the road, get as much game time as possible. looks like we are going to be down one scanlan shorthalt tonight. unfortunately, sam riegel had scheduling stuff he couldn't get around, but we do have our other fantastic gnome, ashley johnson, joining us from new york.",0,0,0,1,"Attack_Conclave",4,6.451,100,0.0155014726399008,"proglog",NA,NA,3,"MATT"
"4",40,40.608,42.445,"TRAVIS","ashley johnson. pike is amazing.",1,0,0,0,"Attack_Conclave",4,1.837,6,0.00326619488296134,"proglog",NA,NA,4,"TRAVIS"
"5",40,42.445,51.266,"MATT","so yeah, that's cool. this is our 40th episode. 40th episode. that's crazy to me.",0,0,0,1,"Attack_Conclave",4,8.821,18,0.00204058496769074,"proglog",NA,NA,5,"MATT"
"6",40,51.266,57.243,"MARISHA","which we could have waited and celebrated 50th episode, but fuck it. 40 it is.",1,0,0,0,"Attack_Conclave",4,5.977,16,0.00267692822486197,"proglog",NA,NA,6,"MARISHA"
"7",40,57.243,60.604,"LAURA","well, we'll celebrate 50th like a motha.",1,0,0,0,"Attack_Conclave",4,3.361,9,0.00267777447188337,"proglog",NA,NA,7,"LAURA"
"8",40,60.604,62.965,"LIAM","we told ourselves 40 and done.",1,0,0,0,"Attack_Conclave",4,2.361,7,0.00296484540448962,"proglog",NA,NA,8,"LIAM"
"9",40,62.965,67.222,"LAURA","so this is the last episode, you guys. hope you've had fun.",1,0,0,0,"Attack_Conclave",4,4.25699999999999,14,0.00328870096311957,"proglog",NA,NA,9,"LAURA"
"10",40,67.222,74.589,"MATT","hopefully not. i certainly hope not. we'll see how tonight goes. so yeah, that'll be cool and we're gonna have our anniversary coming up in march too, which will be fun, so excited for that. yeah, so",0,0,0,1,"Attack_Conclave",4,7.367,40,0.0054296185692955,"proglog",NA,NA,10,"MATT"
"11",40,81.909,85.582,"LAURA","oh my gosh, will our 50th time up with our year? we got to figure this math out.",1,0,0,0,"Attack_Conclave",4,3.67299999999999,19,0.00517288320174246,"proglog",NA,NA,11,"LAURA"
"12",40,85.582,87.89,"TALIESIN","four episodes in february.",1,0,0,0,"Attack_Conclave",4,2.30800000000001,5,0.00216637781629115,"proglog",NA,NA,12,"TALIESIN"
"13",40,87.89,92.928,"MATT","close, we'll see. that would be crazy.",0,0,0,1,"Attack_Conclave",4,5.038,9,0.0017864231838031,"proglog",NA,NA,13,"MATT"
"14",40,92.928,97.099,"TALIESIN","no. no, it won't, but close.",1,0,0,0,"Attack_Conclave",4,4.17100000000001,8,0.0019180052745145,"proglog",NA,NA,14,"TALIESIN"
"15",40,97.099,103.21,"MATT","no, i don't think so, but anyway, couple of quick announcements, just a reminder we're going to be at wizard world portland, february 20th-21st, so if you guys are in the area and want to come say hello, we'll be there for those two days.",0,0,0,1,"Attack_Conclave",4,6.11099999999999,50,0.00818196694485356,"proglog",NA,NA,15,"MATT"
