"episode","actor","time_stamp","description"
1,"Keyleth","1:23:58","Performance as “Trinket”"
1,"Percy","2:25:08","Initiative vs. Goblins and Ogres"
1,"Grog","2:34:53","Insight vs. Fleeing goblins"
1,"Vax’ildan","2:38:48","2nd poison dagger attack vs. Ogre"
1,"Tiberius","2:48:00","2nd scorching ray vs. Naga Abomination"
2,"Vax’ildan","0:55:47","Persuasion vs. Master Thunderbrand (negated by disadvantage"
2,"Keyleth","2:16:13","Grappling the Umber Hulk as a bear"
2,"Percy","2:27:26","Shot vs. Umber Hulk (negated by disadvantage, still crit at 19"
2,"Vex’ahlia","2:39:10","Stealth vs. Duergar (negated by disadvantage"
3,"Vax’ildan","0:38:30","Stealthing in the Underdark"
3,"Vex’ahlia","0:53:02","Stealth check vs. Duergar camp"
3,"Vex’ahlia","2:00:38","Perception for carpet"
4,"Pike","0:22:59","Religion check vs. Kima’s carving"
4,"Pike","0:39:40","Assist Scanlan (negated b/c too late"
4,"Tiberius","1:30:30","Secondary stealth check vs. Duergar Camp"
4,"Vax’ildan","1:48:16","Initiative vs. Duergar General and crew"
4,"Percy","1:57:08","Shot vs. Duergar General"
4,"Scanlan","2:11:01","Stealth check vs. Bulette"
4,"Vex’ahlia","2:22:24","Second attack vs. Bulette"
4,"Grog","2:46:44","Third attack vs. Bulette"
5,"Vax’ildan","0:20:30","Intimidation vs. Duergar general"
5,"Pike","0:42:54","Stealth to leave the Duergar warcamp via flying carpet"
5,"Vax’ildan","1:59:30","Bonus action to hide from ogres in battle"
6,"Percy","1:05:40","Nature check vs. basilisks"
7,"Vax’ildan","0:29:43","Sneak attack vs. Duergar Smithy"
7,"Tiberius","0:33:34","Stealth check"
7,"Percy","0:38:15","Gun butt vs. Duergar Guard"
7,"Vax’ildan","0:42:11","Perception check vs. Commode Door"
7,"Scanlan","2:45:22","Initiative vs. Throne Room"
7,"Keyleth","2:56:02","Dex save vs. Vex’s Conjure Barrage"
7,"Grog","3:14:16","FBWH against Queen Ulara"
7,"Vex’ahlia","3:18:51","Hail of Thorns vs. Duergar Queen"
7,"Scanlan","3:36:19","Beheading the Duergar King (HDYWTDT"
7,"Percy","3:43:23","Dex check vs. Magma Flow"
7,"Vax’ildan","3:43:23","Dex check vs. Magma Flow"
7,"Scanlan","3:46:09","Dex check vs. Magma Flow"
8,"Percy","0:21:17","Initiative vs. Duergar"
8,"Vax’ildan","2:10:01","Grapple check vs. Abyssal Abomination"
8,"Percy","2:39:10","Bad News shot (HDYWTDT"
9,"Vax'ildan","0:30:17","Dagger vs. Duergar (sneak attack and kill"
9,"Percy","0:42:45","Attack vs. Mind flayer (with pepperbox"
9,"Vex'ahlia","2:25:55","Perception check into water while on a beach to spot boats"
9,"Scanlan","2:47:16","Stealth check when entering a cave"
10,"Vex’ahlia","0:35:29","Attack vs. Zombies"
10,"Pike","0:48:03","Initiative vs. Cloaker"
10,"Vax’ildan","0:48:18","Initiative vs. Cloaker"
10,"Tiberius","1:21:50","Arcana check"
10,"Vex'ahlia","2:47:32","Stealth Check"
11,"Vex’ahlia","0:28:08","Sleep arrow vs Fomorian (didn’t work because high HP"
11,"Scanlan","0:35:15","Acrobatics while jumping into the Fomorian’s pit"
11,"Grog","1:51:20","Headbutt vs the Fomorian after it drank all his ale"
11,"Vax’ildan","3:24:50","Athletics check to swing on rope to attack K'varn"
11,"Grog","3:44:22","Athletics check to grab K'varns horn after being thrown by Keyleth"
11,"Tiberius","3:47:00","Perception check over Illithid city"
11,"Grog","4:00:37","Strength save vs. K'varn's telekinesis ray"
11,"Vax'ildan","4:22:44","Wisdom save vs. K'varn's fear ray"
13,"Tiberius","0:33:18","Intelligence save vs. Mind Flayer betrayal"
13,"Vax’ildan","0:54:52","Intelligence save vs. Intellect Devourer"
13,"Scanlan","0:55:46","Wisdom save vs. mind stun"
14,"Percy","1:27:05","Deception check vs. Sovereign Uriel about Briarwoods"
15,"Percy","0:53:30","Constructing exploding arrow"
15,"Tiberius","2:44:25","Telekineses vs. pirate elf"
15,"Grog","2:46:10","Frenzied attack vs. wyvern"
16,"Keyleth","0:53:51","Eagle-eyed perception check"
16,"Vax’ildan","1:29:45","Dex save vs. Pillar trap"
16,"Pike","2:04:36","Initiative vs. Spiders"
16,"Keyleth","2:13:40","Nature check vs. Spiders"
16,"Grog","2:27:50","Stealth check vs. Spiders"
16,"Pike","2:42:45","Wisdom check vs. Misty Room of Fire"
17,"Tiberius","0:23:10","Religion check vs. Statue"
17,"Percy","0:23:10","Religion check vs. Statue"
17,"Vex’ahlia","2:05:13","Tracking the Hydra"
17,"Vex’ahlia","2:13:39","Stealth vs. Hydra"
17,"Tiberius","2:35:33","Telekinesis vs. Hydra head"
17,"Vex’ahlia","2:40:00","Dex save vs. exploding arrow"
17,"Percy","2:48:28","Wis save to shrug off Hold Person"
18,"Percy","1:44:27","Attack vs. Ogrillon with pepperbox"
18,"Percy","1:46:51","Attack vs. orc 1 with pepperbox"
18,"Percy","2:04:52","Attack vs. orc 2 with pepperbox"
18,"Vex’ahlia","2:23:56","Con save vs. cold weather"
19,"Percy","00:11:35","Initiative vs. Frost Giants"
19,"Lyra","00:11:35","Initiative vs. Frost Giants"
19,"Vex’ahlia","1:51:27","Stealth check in Rimefang's lair"
19,"Percy","1:59:35","Initiative vs. Rimefang"
19,"Vex’ahlia","1:59:35","Initiative vs. Rimefang"
19,"Scanlan","2:08:00","Wis save, resist Terrifying Presence"
19,"Percy","2:21:58","Attack vs. Rimefang (negated by disadvantage"
19,"Trinket","2:27:04","Wis save vs. fear"
19,"Percy","2:45:40","Wis save vs. fear (after bomb detonation"
19,"Grog","2:54:48","Scanlan bowling"
19,"Vex’ahlia","3:08:08","Wis save vs. fear"
19,"Vex’ahlia","3:35:27","Perception check for “shinies” in Rimefang's lair"
20,"Vax’ildan","2:33:35","Check for traps in Velvet Cabaret"
21,"Kashaw","0:11:17","Initiative vs. Otyugh"
21,"Keyleth","1:02:01","Investigation vs. Cells"
21,"Vax’ildan","1:02:58","Lockpick vs. cell door"
21,"Tiberius","2:23:15","Perception vs. Anti-magic field"
21,"Thorbir","2:48:32","Insight vs. Hotis"
21,"Vax’ildan","3:15:27","Dominated attack vs. Kashaw"
21,"Keyleth","3:50:01","Extracting eyes (with advantage"
21,"Keyleth","3:50:17","Extracting tongue (first roll, with advantage"
22,"Vex’ahlia","0:20:23","Religion check vs. Ioun symbol"
22,"Vex’ahlia","1:50:00","Warhorse negotiation"
22,"Pike","3:14:50","Stealth vs. Red Dragon (negated by disadvantage"
22,"Vex’ahlia","3:27:42","Attack vs. Elemental 2"
22,"Vax’ildan","3:59:54","Attack vs. Elemental 1"
23,"Vex’ahlia","0:26:56","Sleight of Hand to Hunter’s Mark one of the Bastion"
23,"Grog","0:56:27","Flying kick vs. Kern (negated by disadvantage"
23,"Vax’ildan","2:49:50","Persuasion on Kynan (with Luck"
24,"Tiberius","1:31:16","Farting while Vax sneaks off. Yes, really."
24,"Vax’ildan","1:34:36","Stealthing to the butcher’s"
24,"Vax’ildan","2:35:33","Stealthing upon sleeping Grog (with advantage"
24,"Vex’ahlia","2:43:00","Training Trinket to Cannonball (with advantage"
24,"Vex’ahlia","3:39:37","Stealthily casting Hunter’s Mark on Lady Briarwood."
25,"Vex'ahlia","0:59:02","Lightning Arrow vs. Lady Briarwood"
25,"Vex'ahlia","1:00:52","Second attack vs. Lady Briarwood"
25,"Lillith","2:43:08","Initiative vs. The Broker"
25,"Percy","3:06:28","Overkill vs. The Broker"
26,"Scanlan","3:02:30","Concentration to turn into a pterodactyl cow"
27,"Percy","0:20:39","Initiative vs. Invisible Stalkers"
27,"Trinket","0:27:09","2nd Attack vs. Invisible Stalker"
27,"Trinket","0:37:05","Bite Attack vs. Invisible Stalker (negated by disadvantage"
27,"Vax’ildan","1:10:01","Persuasion vs. Desmond’s trepidation (with Luck"
27,"Scanlan","1:11:54","Stealth check to sleep under Percy’s workbench"
27,"Keyleth","2:34:13","Enchanting a vial of holy water with Fog"
27,"Scanlan","3:12:25","Eavesdropping on Percy and Keyleth"
27,"Vex’ahlia","3:21:31","Perception vs. Behir"
27,"Vax’ildan","3:21:31","Perception vs. Behir"
28,"Grog","0:42:52","Breaking the grapple vs. the behir"
28,"Keyleth","1:00:32","Harvesting the behir’s lightning gland (with advantage"
28,"Grog","1:14:14","Int check vs. Stone Giant Fortress"
28,"Vax’ildan","1:32:57","Stealth vs. murder of crows"
28,"Percy","1:49:22","Perception vs. Wolf pack hunter"
28,"Vex’ahlia","2:28:05","Stealth into Whitestone"
28,"Vax’ildan","2:28:18","Stealth into Whitestone (with Luck"
29,"Vax’ildan","0:29:54","Picking the door’s lock (negated by lack of lock"
29,"Vax’ildan","0:54:12","Initiative vs. Banshee"
29,"Percy","0:54:54","Wis save vs. Banshee (with advantage"
29,"Vax’ildan","0:57:20","Dagger vs. Banshee (negated since stake, not dagger"
29,"Percy","3:02:31","Headshot vs. Sir Stonefell"
29,"Percy","3:21:24","Killing shot vs. Sir Stonefell"
29,"Keyleth","3:27:58","Attack of Opportunity vs. Vouk"
29,"Grog","3:45:38","Ripping out Vouk’s tongue"
30,"Vex’ahlia","0:47:52","Blazing Bowstring vs. Vampire 3"
31,"Percy","p1.","Third Hexed shot vs. Count’s Guard"
31,"Trinket","p1.","HDYWTDT vs. Count Tylieri"
31,"Vex’ahlia","p1.","Intimidation vs. Fleeing Guard"
31,"Percy","p2.","Investigation of Count Tylieri’s desk"
31,"Vax’ildan","p2.","Stealth back to The Alcove (Nat20+13+10=43"
31,"Scanlan","p2.","Stealth back to The Alcove"
32,"Percy","0:27:05","Taking a shot vs. the approaching skeletons"
32,"Pike","0:33:07","Jumping into the skeleton horde"
32,"Vax’ildan","2:48:50","Con save after sleeping in the tunnel"
32,"Keyleth","3:01:57","Arcana check for magical essence of the Impassable Statue"
33,"Percy","p1.1:04:34","Investigating Cassandra’s desk"
33,"Percy","p1.1:27:33","Initiative vs. Professor Anders"
33,"Percy","p1.","Pepperbox vs. Professor Anders"
33,"Vax’ildan","p2.","Thieves’ Tools to untrap the lock"
33,"Vex’ahlia","p2.","Stealth check into catacombs (with advantage"
33,"Percy","p2.","Perception check for slivers of glass"
33,"Grog","p2.","Survival check to find tracks in catacombs"
33,"Percy","p2.","Initiative vs. Ghosts"
33,"Percy","p2.","Normal bullet vs. Ghost 1"
33,"Percy","p2.","Fire bullet vs. Ghost 1"
33,"Grog","p2.","Attack of Opportunity vs. Vex’ahlia (negated by disadvantage"
33,"Grog","p2.","Attack of Opportunity vs. Percy"
34,"Vax’ildan","0:51:51","Thieves’ Tools vs. Copper Door"
34,"Keyleth","0:59:01","Intelligence check on Copper Room"
34,"Vex’ahlia","2:50:33","Skirmisher Stealth after attack"
34,"Vex’ahlia","3:13:49","Attack vs. Delilah Briarwood (negated by disadvantage"
34,"Vex’ahlia","3:14:14","Attack vs. Delilah Briarwood"
34,"Percy","3:39:40","Violent shot vs. Delilah Briarwood"
34,"Keyleth","3:49:16","Attack of Opportunity vs. Delilah Briarwood"
34,"Vex’ahlia","4:18:16","Acrobatics to break her fall at 1HP (negated by disadvantage"
34,"Vax’ildan","4:19:02","Acrobatics to land next to an unconscious Vex"
34,"Keyleth","4:33:49","Strength Save vs. Black Marble of Doom"
35,"Percy","p1.","Wis Save vs. Orthax’s influence, with advantage"
35,"Scanlan","p1.","Wis Save vs. Rampage Pulse"
35,"Pike","p1.","Guiding Bolt vs. Orthax, with advantage"
35,"Trinket","p1.","Bite Attack vs. Pike, with advantage"
35,"Grog","p1.","Attack of Opportunity vs. Orthax, with advantage"
35,"Scanlan","p2.","Persuasion vs. Percy for the Pepperbox, with advantage"
35,"Grog","p2.","Strength check to behead the Countess"
36,"Vax’ildan","2:04:50","Con Save vs. Pie, Round 1"
37,"Pike","0:49:02","Medicine check on Desmond"
37,"Grog","1:30:30","Arcana check on anti-scrying runes"
37,"Vax’ildan","3:10:48","Checking for traps on first lock."
37,"Vax’ildan","3:11:20","Checking for traps on last lock (negated, since no advantage"
37,"Vex’ahlia","3:40:59","Stealth vs. Daxio"
37,"Vax’ildan","3:54:05","Sneak Attack vs. Daxio (first roll with adv"
37,"Pike","4:01:30","Holy Lasso vs. Daxio (first roll with adv"
37,"Vax’ildan","4:03:23","Second attack vs. Daxio (with adv"
38,"Vex'ahlia","2:16:04","Dex save vs. Force cage trap"
38,"Scanlan","2:17:45","Dex save to escape Force cage"
38,"Percy","2:18:52","Investigation check of Krieg's upper floor"
38,"Percy","2:30:54","Perception check of gem in skull"
38,"Keyleth","2:46:41","Perception check vs. cave"
39,"Vax’ildan","0:20:55","Dex save vs. Purple Worm’s bite"
39,"Vax’ildan","0:32:35","Con save vs. Frost Worm’s cold breath"
39,"Percy","0:46:55","Str check to distract worm while in mist form (negated by disadvantage"
39,"Scanlan","2:18:17","Deception check vs. palace guard (with advantage"
40,"Keyleth","0:22:32","Vorugal Battle Initiative"
40,"Percy","0:26:40","Bad News Targeted Wing Shot against Vorugal"
40,"Pike","1:08:16","Dexterity Save vs. Vorugal Wing Attack"
40,"Grog","2:21:47","Wisdom Save"
41,"Vex’ahlia","1:13:20","Looter Battle Initiative"
41,"Grog","1:53:35","Craven Edge GWM Reckless Attack against Looter 2"
41,"Grog","1:54:00","Craven Edge GWM Reckless Attack against Looter 4"
41,"Vex’ahlia","2:00:02","Investigation Check"
41,"Grog","2:50:55","Investigation Check-disregarded"
41,"Vex’ahlia","2:51:01","Perception Check"
41,"Vax’ildan","2:56:47","Stealth Check"
42,"Grog","1:11:02","Stealth Check with PWaT"
42,"Grog","1:45:42","Craven Edge GWM Reckless Attack against Wyvern"
43,"Vax’ildan","2:53:00","Initiative Roll"
43,"Vax’ildan","3:11:45","Dagger Sneak Attack against Groon"
43,"Scanlan","3:19:15","Bigby’s Hand Attack against Groon with disadvantage (disregarded due to disadvantage"
44,"Zahra","0:57:10","Investigation Check"
44,"Vax’ildan","1:42:03","Stealth Check"
44,"Zahra","2:05:06","Perception Check"
44,"Zahra","4:14:48","Witch Bolt against Beholder"
45,"Vex’ahlia","1:43:47","Stealth Check with advantage"
45,"Vax’ildan","2:44:57","Constitution Saving Throw"
46,"Keyleth","0:37:41","Intimidation Check"
46,"Vax’ildan","2:31:40","Dagger Sneak Attack against Large Salamander"
47,"Keyleth","1:56:58","Stealth with PWaT and HiPS"
47,"Scanlan","2:52:47","Charisma Save with advantage"
48,"Scanlan","0:16:01","Intelligence Check"
48,"Pike","1:21:51","Insight Check"
48,"Pike","2:41:20","Guiding Bolt with disadvantage against B3 (disregarded due to disadvantage"
48,"Grog","2:53:07","Craven Edge GWM Reckless Attack against Basilisk 5"
49,"Vax’ildan","Nat20=45,","Stealth Check with PWaT"
49,"Vex’ahlia","1:17:12","Stealth Check"
49,"Grog","1:27:05","Craven Edge GWM Reckless Attacks against War Chief"
49,"Percy","1:35:18","Shot against Rope"
49,"Vex’ahlia","4:19:44","Strength Check"
49,"Vex’ahlia","4:24:27","Wisdom Save"
50,"Grog","0:26:34","Constitution Save with disadvantage (disregarded"
50,"Percy","1:11:02","Tinkering Check with advantage (advantage not rolled"
51,"Vax’ildan","1:22:23","Thieves’ Tools"
51,"Grog","1:46:40","Persuasion Check"
51,"Percy","1:48:56","Stealth Check with Pass Without a Trace"
51,"Keyleth","2:27:55","Stealth Check"
51,"Percy","2:28:31","Stealth Check"
52,"Vex’ahlia","0:17:45","Initiative Roll"
