"","Episode","startTime","endTime","Actor","Text","vox_machina","guest","staff","Matt","Arc","Arc_no","timeDiffInSecs","wordCount","WordsPerMillisec","segment","encounter_count","rp_combat","turn_number","CR_GUEST"
"1",5,1.145,6.03,"MATT","hello everyone, welcome to the fifth episode of critical role! before we start and get into the videos for our initial intro, let me go over a couple of things for the evening. first off, we're shooting to get to 1,500 subscribers by this evening, and as soon as we get there, we're giving out a promo kit that's worth about $250, which is awesome. we'll all go ahead and sign it at the end of the day and get it out to you as well. also, tabletop day is coming up this saturday, and a few of us will be showing up during the stream as well and any of you guys playing your own tabletop games at home, or whatever the case may be, if you go to the website and register, for each person that registers, we're giving away a boardgame to the charity big brothers and big sisters, so that's a really, really cool thing that you guys should get involved with. that's this saturday, at international tabletop day, and also, we received a present apparently from the audience.",0,0,0,1,"Kraghammer",1,4.885,192,0.0393039918116684,"proglog",NA,NA,1,"MATT"
"2",5,46.807,47.702,"TRAVIS","a present?",1,0,0,0,"Kraghammer",1,0.894999999999996,3,0.00335195530726258,"proglog",NA,NA,2,"TRAVIS"
"3",5,47.702,48.718,"MATT","that i get to open.",0,0,0,1,"Kraghammer",1,1.01600000000001,6,0.00590551181102359,"proglog",NA,NA,3,"MATT"
"4",5,48.718,49.932,"LIAM","vat eez zis present? [static]",1,0,0,0,"Kraghammer",1,1.214,6,0.00494233937397035,"proglog",NA,NA,4,"LIAM"
"5",5,50.67,52.613,"MATT","i don't know vat zis present eez, but now i get to open zis.",0,0,0,1,"Kraghammer",1,1.943,16,0.00823468862583634,"proglog",NA,NA,5,"MATT"
"6",5,52.613,53.279,"MATT","ooh!",0,0,0,1,"Kraghammer",1,0.666000000000004,2,0.00300300300300299,"proglog",NA,NA,6,"MATT"
"7",5,53.279,55.23,"MATT","this is for all of us, apparently.",0,0,0,1,"Kraghammer",1,1.95099999999999,8,0.00410046130189648,"proglog",NA,NA,7,"MATT"
"8",5,55.23,59.024,"TALIESIN","what kind of sack is that?",1,0,0,0,"Kraghammer",1,3.794,7,0.0018450184501845,"proglog",NA,NA,8,"TALIESIN"
"9",5,59.024,64.247,"MATT","it is a big oh, it is a gigantic sack.",0,0,0,1,"Kraghammer",1,5.223,11,0.00210606930882635,"proglog",NA,NA,9,"MATT"
"10",5,64.306,65.209,"ORION","ooh, i love gigantic sacks",1,0,0,0,"Kraghammer",1,0.903000000000006,5,0.00553709856035434,"proglog",NA,NA,10,"ORION"
"11",5,65.209,66.898,"MATT","oh my god guys, this is, this is amazing!",0,0,0,1,"Kraghammer",1,1.68899999999999,10,0.00592066311426882,"proglog",NA,NA,11,"MATT"
"12",5,66.898,67.873,"LAURA","there's a card on it.",1,0,0,0,"Kraghammer",1,0.975000000000009,7,0.00717948717948712,"proglog",NA,NA,12,"LAURA"
"13",5,67.873,68.722,"MATT","all right.",0,0,0,1,"Kraghammer",1,0.84899999999999,3,0.00353356890459368,"proglog",NA,NA,13,"MATT"
"14",5,68.722,69.652,"LAURA","on the other side.",1,0,0,0,"Kraghammer",1,0.930000000000007,5,0.00537634408602147,"proglog",NA,NA,14,"LAURA"
"15",5,69.652,76.782,"MATT","there's a card? oh snap. by the power of #teamnostream, you have the power. by negihama, thank you negihama.",0,0,0,1,"Kraghammer",1,7.13,21,0.002945301542777,"proglog",NA,NA,15,"MATT"
"16",5,79.42,81.026,"MATT","thank you negihama!",0,0,0,1,"Kraghammer",1,1.60599999999999,4,0.00249066002490661,"proglog",NA,NA,16,"MATT"
"17",5,81.026,88.263,"MATT","that's amazing, as we now have for the group, a castle greyskull.",0,0,0,1,"Kraghammer",1,7.23700000000001,14,0.00193450324720188,"proglog",NA,NA,17,"MATT"
"18",5,88.263,93.376,"MATT","huzzah! yay!",0,0,0,1,"Kraghammer",1,5.113,3,0.000586739683160571,"proglog",NA,NA,18,"MATT"
"19",5,93.376,97.119,"MATT","so during the intro break we're going to go ahead and open this and find a place for it nearby, 'cause this is now representative of the keep that the players have waiting for them at emon once they get out of this horrible mess. anyway guys, welcome to critical role, let's get into those intros, shall we?",0,0,0,1,"Kraghammer",1,3.74299999999999,61,0.0162970878974085,"proglog",NA,NA,19,"MATT"
