"","Episode","startTime","endTime","Actor","Text","vox_machina","guest","staff","Matt","Arc","Arc_no","timeDiffInSecs","wordCount","WordsPerMillisec","segment","encounter_count","rp_combat","turn_number","CR_GUEST"
"1",81,11.067,14.067,"MATT","my name is matthew mercer, dungeon master for the show. welcome to the chaos of this evening. before we get into our actual game story, and the thread of what has transpired in recent events, we're gonna go through our quick announcements. first and foremost, tonight's episode is sponsored by us! sponsored by the new year. sponsored by, hopefully, have our sponsor contracts finalized soon, and we can have an actual sponsor soon, but until then, we are sponsored by you awesome people who come and watch the show. i think sam had prepared a bit.",0,0,0,1,"Fall_Conclave",6,3,99,0.033,"proglog",NA,NA,1,"MATT"
"2",81,42.667,45.067,"SAM","what i, yeah, i prepared a bit. that's pretty much it. now, i'm gonna need a little quiet, because we've gotten a lot of feedback from fans, and so, this new feature we're gonna roll out. we're gonna have a telephone number that people can call and complain to, so i just wanted to i think i can use this mic if everyone can be quiet. i'm gonna just record our outgoing message for the the new phone line that we're setting up right now. so stand by. thank you for calling critical role customer support. we value from your feedback and want to improve your experience. if you're calling to argue against one of matthew mercer's many, many rule violations, press one. if you're calling to cry because ashley johnson isn't on this episode, mash your forehead into your number pad repeatedly. if you're calling to lodge a complaint about marisha ray or the character of keyleth, or how nothing she ever does is cool, press three. you will be given five minutes to rant and don't worry. your message will make marisha feel like shit within 24 hours. quiet, guys. if you would like to complain about the technical aspects of the twitch stream, please hang up and call 1-800-hashtag w-e-k-n-o-w. if you are offended by something sam riegel said on the stream, you can go fuck yourself. thank you for your support. okay, that's it.",1,0,0,0,"Fall_Conclave",6,2.4,260,0.108333333333333,"proglog",NA,NA,2,"SAM"
"3",81,122.367,123.434,"MATT","good, good.",0,0,0,1,"Fall_Conclave",6,1.06699999999999,3,0.00281162136832242,"proglog",NA,NA,3,"MATT"
"4",81,131.067,133.934,"LIAM","pick up. can i just, on behalf on all of us?",1,0,0,0,"Fall_Conclave",6,2.86699999999999,12,0.00418555981862576,"proglog",NA,NA,4,"LIAM"
"5",81,139.534,141.167,"MATT","we miss you, ashley. we miss you.",0,0,0,1,"Fall_Conclave",6,1.63300000000001,8,0.00489895897121859,"proglog",NA,NA,5,"MATT"
"6",81,143,144.257,"LAURA","always, always.",1,0,0,0,"Fall_Conclave",6,1.25700000000001,3,0.00238663484486873,"proglog",NA,NA,6,"LAURA"
"7",81,144.257,145.868,"TRAVIS","start crying before the show starts.",1,0,0,0,"Fall_Conclave",6,1.61099999999999,7,0.00434512725015521,"proglog",NA,NA,7,"TRAVIS"
"8",81,145.901,147.34,"MARISHA","i look forward to all the voicemails.",1,0,0,0,"Fall_Conclave",6,1.43899999999999,8,0.00555941626129259,"proglog",NA,NA,8,"MARISHA"
"9",81,147.34,148.767,"SAM","uh-huh. -",1,0,0,0,"Fall_Conclave",6,1.42699999999999,4,0.00280308339173092,"proglog",NA,NA,9,"SAM"
"10",81,147.34,148.767,"LAURA","yeah, so many.",1,0,0,0,"Fall_Conclave",6,1.42699999999999,4,0.00280308339173092,"proglog",NA,NA,10,"LAURA"
"11",81,148.801,149.767,"LIAM","it's already full.",1,0,0,0,"Fall_Conclave",6,0.966000000000008,5,0.00517598343685296,"proglog",NA,NA,11,"LIAM"
"12",81,149.801,151.501,"TALIESIN","yeah. it's like our very own this american life episode.",1,0,0,0,"Fall_Conclave",6,1.70000000000002,12,0.00705882352941169,"proglog",NA,NA,12,"TALIESIN"
"13",81,153.534,155.801,"MARISHA","-i'm so excited. yeah.",1,0,0,0,"Fall_Conclave",6,2.267,7,0.00308778120864579,"proglog",NA,NA,13,"MARISHA"
"14",81,155.834,158.567,"MATT","thank you, sam, for that fantastic message.",0,0,0,1,"Fall_Conclave",6,2.733,8,0.00292718624222466,"proglog",NA,NA,14,"MATT"
"15",81,158.601,161.1,"LIAM","wow!",1,0,0,0,"Fall_Conclave",6,2.499,2,0.000800320128051222,"proglog",NA,NA,15,"LIAM"
"16",81,161.133,162.767,"MATT","we have some i think, some merch updates if you want to take that, laura.",0,0,0,1,"Fall_Conclave",6,1.63399999999999,16,0.00979192166462677,"proglog",NA,NA,16,"MATT"
